,file,offsets,text,label,category,eadid,description,field,id,desc_id
90,AA7_00100.ann,"(1863, 1881)",Professor Burleigh,Unknown,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,78,4
100,AA7_00100.ann,"(1901, 1936)",Professor of Ecclesiastical History,Occupation,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,79,4
107,AA7_00100.ann,"(1959, 1983)",a four person department,Omission,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,80,4
91,AA7_00100.ann,"(2074, 2090)",Professor Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,81,4
92,AA7_00100.ann,"(2213, 2224)",Alec Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,82,4
62,AA7_00100.ann,"(2253, 2261)",Chairman,Generalization,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,83,4
101,AA7_00100.ann,"(2253, 2293)",Chairman of the University History Board,Occupation,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,84,4
102,AA7_00100.ann,"(2302, 2354)",Principal of the Faculty of Divinity and New College,Occupation,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,85,4
76,AA7_00100.ann,"(2386, 2389)",his,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,86,4
63,AA7_00100.ann,"(2399, 2415)",Professor Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,87,4
93,AA7_00100.ann,"(34, 63)",Rev Prof Alec Campbell Cheyne,Masculine,Person-Name,AA7,"Title:
Papers of Rev Prof Alec Campbell Cheyne (1924-2006)

",Title,88,5
77,AA7_00100.ann,"(34, 63)",Rev Prof Alec Campbell Cheyne,Unknown,Person-Name,AA7,"Title:
Papers of Rev Prof Alec Campbell Cheyne (1924-2006)

",Title,89,5
82,AA7_00100.ann,"(445, 456)",Alec Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,90,4
64,AA7_00100.ann,"(505, 508)",son,Gendered-Role,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,91,4
103,AA7_00100.ann,"(505, 608)","son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell",Stereotype,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,92,4
94,AA7_00100.ann,"(516, 541)",Reverend Alexander Cheyne,Masculine,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,93,4
78,AA7_00100.ann,"(516, 541)",Reverend Alexander Cheyne,Unknown,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,94,4
98,AA7_00100.ann,"(543, 570)",United Free Church Minister,Occupation,Contextual,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,95,4
79,AA7_00100.ann,"(585, 608)",Catherine Anna Campbell,Unknown,Person-Name,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,96,4
67,AA7_00100.ann,"(610, 613)",His,Gendered-Pronoun,Linguistic,AA7,"Biographical / Historical:
Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,97,4
